Text_ID,Mobile_Tech_Flag_Actual,Mobile_Tech_Flag_Predicted,Headline_Actual_Eng,Headline_Generated_Eng_Lang
article_345678,1,1,Deleted Photo (Images) Ko Recover Kaise Kare Mobile Phone Me,Recover Deleted Photo
article_345679,1,1,Android Mobile Me Paise Kamaye mCent App Install karke,Earn money through mCent App Android Mobile
article_345680,1,0,Xiaomi's new variant of 6000mAh battery 48MP camera will launch soon,
article_345681,1,0,Nokia 3.4 or Moto E7 Power. Similar features but price differs,
article_345682,1,1,Mobile Me App Install karke Paise Kaise Kamaye [Top 6 App],"Samsumg's  18GB RAM, 4000mAh battery and 3 camera smartphone's sale starts tomorrow"
article_345683,1,0,"Nokia's 4GB RAM, 4000mAh battery and 3 camera smartphone's sale starts tomorrow",
article_345684,1,0,"Xiaomi just launched a Bluetooth speaker at Rs 2,499",
article_345685,0,0,,
article_345686,0,0,,
article_345687,0,1,,10 Security Mistakes by small businesses
article_345688,0,0,,
article_345689,0,0,,
article_345690,0,1,,8 Blogging Tools to be a better Blogger
article_345691,1,1,iQOO brings 120W 15 minute fast charge smartphone to India,Redmi 9 Power smartphone's 6GB RAM variant launched in India
article_345692,0,1,,What is Digital marketing and how to be expert
tweet_645321,1,1,,
tweet_645322,1,1,,
tweet_645323,1,1,,
tweet_645324,0,0,,
tweet_645325,1,1,,
tweet_645326,1,1,,
tweet_645327,1,0,,
tweet_645328,0,1,,
tweet_645329,1,1,,
tweet_645330,0,0,,
tweet_645331,0,1,,
tweet_645332,0,0,,
tweet_645333,0,0,,
tweet_645334,1,0,,
tweet_645335,1,1,,
